Dataset,Adaboost,kNN,Logistic Regression,Multinomial NB,Random Forest,SVM,Transformer,Mean,Complexity Class
AG,0.844896176001172,0.5887912392783159,0.8773544223165131,0.8922310254049961,0.8755946804643575,0.8548785750860848,0.9350558506715582,0.838400281317571,4
AT,0.5981435073859083,0.2853689592426614,0.6852748101152418,0.62246754748666,0.6548255589016458,0.6691475083760644,0.7952025680137681,0.6157757799317071,2
ATIS_Int,0.4238491722412356,0.4345436499121666,0.7212420666503916,0.6140379685243108,0.6269487288962586,0.8536693033442231,0.9174326792994354,0.6559605098382887,2
ATIS_Int_and_CM,0.9952450540906996,0.5582803187571151,0.9973646838214592,0.9994741916519694,0.996306141132407,0.9931151908997358,1.0,0.9342550829076266,4
ATIS_Int_and_ClassicLit,0.9993058695326742,0.36040458215091,0.999444801941508,0.9962730728905996,0.999722400970754,0.998060517860466,1.0,0.9076016064781303,4
AT_and_ATIS_Int,0.99839297662394,0.8837216970593447,0.999598244155985,0.9939802873595244,0.9987950298229528,0.9987950298229528,1.0,0.9818976092635284,4
AT_and_CM_and_DFG_and_DT_and_NYR_10_and_SDC_and_TE,0.8021760726199477,0.569957535897731,0.97316057815337,0.8425168894866764,0.8997399767311192,0.9651267994217212,0.9862564890158813,0.8627049059037782,4
AT_and_ClassicLit,0.9987436966014728,0.3806613311991463,0.9987430816167212,0.9893424276024968,0.9968553936603765,0.9985339540907564,1.0,0.9089828406815672,4
CM,0.644297398902662,0.05717541553034,0.6778784075671488,0.551631199153289,0.6676956610970751,0.6810173598118847,0.947488813197088,0.6038834650370697,2
CM_and_AT,0.9974714813987712,0.5510349923433056,0.9928378487340752,0.9757713533414468,0.973730393542808,0.9964311568857463,0.9994929290504556,0.9266814507566583,4
CM_and_DFG,0.98862325500737,0.5395216534603029,0.9824669587355456,0.9630684880151832,0.9917056363149606,0.9824895464161544,0.9994799981515696,0.9210507908715837,4
ClassicLit,0.6578457933940725,0.2928743634471361,0.8402466949607975,0.8254000614518149,0.5298119775840522,0.7874523876581538,0.8733205368970481,0.6867074021990106,2
ClassicLit_and_CM,0.9566249050732504,0.5964488285330103,0.9792500244190484,0.971141360803324,0.9648558912214826,0.9838922745952629,0.9973912057328423,0.9213720700540317,4
ClassicLit_and_DFG,0.9988214295980088,0.7244922048446519,0.9972432038083936,0.9924747729387482,0.9971114173051968,0.9979014376365188,1.0,0.9582920665902169,4
ClassicLit_and_LMRC,0.9943178771551152,0.3484537241151916,0.998509323217778,0.9876279683388688,0.996133631422932,0.998136558140898,0.9995342228573266,0.9032447578925871,4
ClassicLit_and_RS,0.8519780306732876,0.2065227545329932,0.93531065718329,0.8441544070616246,0.8235157225455731,0.9088719079356916,0.9761120417826734,0.7923522173878761,3
ClassicLit_and_SST,0.9693676535799636,0.452017649320748,0.988749449648452,0.9161641655247093,0.9663405791754838,0.9835225319809672,0.9969259695619994,0.8961554283989034,4
ClassicLit_and_TE,0.9464770122993622,0.4071766444116762,0.9728667002687188,0.9819563438597784,0.9454321429110608,0.9578189356674331,0.99030949684798,0.8860053251808585,4
DB_PEDIA_0_1,0.8036278536957367,0.340631716658771,0.9779990130080688,0.9476249042305348,0.9594641847184436,0.975980758085174,0.9930748836894376,0.8569147591551667,4
