Dataset,Class,Adaboost,Random Forest,kNN,SVM,Multinomial NB,Logistic Regression,Transformer,Mean,Complexity Class
AG,Business,0.8016989646933899,0.8403177211722817,0.5745974955277281,0.8098290598290597,0.8493735003998935,0.8296688741721856,0.9028815368196372,0.8011953075163109,4
AG,Sci/Tech,0.7978170478170478,0.8489732258903041,0.6984888462461022,0.8177390412714688,0.8661990127305794,0.8475720592054012,0.9112487100103198,0.8268625633101747,4
AG,Sports,0.9328397673188789,0.9345509893455098,0.625,0.941782586295724,0.9618997912317327,0.9460384311660964,0.98311345646438,0.9036035745460459,4
AG,World,0.844596371285827,0.8898936170212766,0.6162619573215599,0.8646882657228424,0.8954352441613588,0.8784105960264902,0.9519281563655572,0.8487448868435589,4
AT,negative,0.8500960922485586,0.9018718094157684,0.3145491803278688,0.8698412698412699,0.8582375478927203,0.880479344055503,0.92014742014742,0.7993175234184442,4
AT,neutral,0.4674329501915709,0.4738955823293173,0.1969026548672566,0.4913793103448276,0.4640234948604992,0.5290148448043185,0.6580459770114943,0.46867068777275495,2
AT,positive,0.6119096509240245,0.625,0.2630208333333333,0.6373626373626373,0.5595854922279793,0.6875,0.7681818181818182,0.593222918861399,3
ATIS_Int,atis_abbreviation,0.653061224489796,1.0,0.7812499999999999,1.0,0.8666666666666665,1.0,0.9705882352941176,0.8959380180643686,4
ATIS_Int,atis_aircraft,0.5,0.72,0.5263157894736842,0.6666666666666667,0.5833333333333334,0.6153846153846153,0.9411764705882352,0.6504109822066478,3
ATIS_Int,atis_aircraft#atis_flight#atis_flight_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ATIS_Int,atis_airfare,0.7311827956989247,0.9019607843137256,0.4285714285714285,0.8631578947368421,0.5740740740740741,0.92,0.979591836734694,0.7712198305899556,4
ATIS_Int,atis_airfare#atis_flight_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ATIS_Int,atis_airline,0.0,0.898550724637681,0.6333333333333333,0.9268292682926828,0.7671232876712328,0.9743589743589745,1.0,0.7428850840419864,3
ATIS_Int,atis_airline#atis_flight_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ATIS_Int,atis_airport,0.0,0.9090909090909092,0.8484848484848485,0.9444444444444444,0.9142857142857144,0.9444444444444444,0.972972972972973,0.7905319048176193,4
ATIS_Int,atis_capacity,0.6875000000000001,0.8,0.5517241379310345,0.923076923076923,0.7906976744186046,0.8,1.0,0.793285533632366,4
ATIS_Int,atis_cheapest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ATIS_Int,atis_city,0.0,0.0,0.0,0.6,0.1538461538461538,0.0,0.8,0.221978021978022,1
ATIS_Int,atis_distance,0.6666666666666666,0.6666666666666666,0.9473684210526316,1.0,0.7200000000000001,0.9473684210526316,1.0,0.8497243107769423,4
ATIS_Int,atis_flight,0.9085588880760792,0.9562547966231773,0.916234247590808,0.975338106603023,0.9218241042345278,0.9741985926505082,0.9897070467141726,0.9488736832131853,4
ATIS_Int,atis_flight#atis_airfare,0.5,0.0,0.1176470588235294,0.6666666666666666,0.380952380952381,0.5882352941176471,0.5555555555555556,0.4012938508736828,2
